,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q35,Q36,Q37
206,friend,650.0,300.0,300.0,No,,,4,5,,It might can help me and the person I take care of,5,So they could make it easier on me,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,4,Required,4,5,5,How much does this service cost,I would like to receive more information
207,father,2500.0,750.0,1750.0,Yes,Family members send money to me,"Mobile banking app, e.g. Venmo, ApplePay, Zelle",4,5,,It would help us tremendously,5,Because it would help with the burden,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,5,Optional,5,5,5,,
208,father-in-law,1000.0,450.0,250.0,Yes,Family members are each responsible for different bills,,3,5,,Sounds convenient,4,It would make things more simple,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,3,Required,4,4,5,No,No
209,father,600.0,450.0,150.0,Yes,Family members divide the total cost,,3,4,,Father's care,3,Helpful way to split up the bills for my father's care evenly,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a fixed monthly payment,4,Required,4,5,5,,No
210,mother-in-law,5000.0,2500.0,2500.0,Yes,"Family members are each responsible for different bills,Family members divide the total cost",,5,5,,Nothing in particular,5,Nothing in particular,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a fixed monthly payment,5,Required,5,5,5,Nothing,Nothing
211,mother,30000.0,10000.0,2000.0,Yes,Family members are each responsible for different bills,,3,3,,It would be helpful,3,it will help,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,3,Required,3,5,4,nothing,none
212,mother,2000.0,700.0,1000.0,No,,,1,5,,Maybe it could help us save money,1,,Because they’re not the ones that have to take care of her.,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,1,Required,5,5,5,No,No
213,mother-in-law,45000.0,30000.0,15000.0,Yes,Family members send money to me,"Mobile banking app, e.g. Venmo, ApplePay, Zelle",4,5,,To streamline the communication process,5,Very convenient,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a fixed monthly payment,5,Not included,5,5,5,No it sounds great,Some of the questions were confusing the way they asked the same question in the opposite way
214,mother,7000.0,6000.0,1000.0,Yes,"Family members divide the total cost,Family members send money to me",Cash or check,5,1,Mother died,,1,,Mother died,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a fixed monthly payment,5,Required,5,1,1,No,No
215,grandparent,2500.0,1500.0,1000.0,Yes,"Family members send money to my relative,Family members send money to the main person caring for our relative","Mobile banking app, e.g. Venmo, ApplePay, Zelle,Cash or check",3,5,,I like that it would properly divide up the expenses for caregiving,5,So that we could properly help pay our fair share,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,5,Required,5,3,5,"No, there wasn't anything missing","No, nothing was confusing about this survey"
216,father,1500.0,1100.0,400.0,Yes,Family members send money to me,Cash or check,1,5,,Yes,3,Help with cost,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,2,Required,3,3,2,No,No
217,mother,1200.0,1100.0,100.0,No,,,5,4,,It sounds different and unique,4,Because it’s something unique and different,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,4,Required,4,4,4,Nothing I can think of,No
218,mother,2000.0,1200.0,800.0,No,,,1,5,,Help with cost,5,Share cost,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,5,Required,5,5,5,No,No
219,father,500.0,0.0,500.0,No,,,1,5,,It would help everyone easily donate money to help with the cost.,5,It would make it a lot easier for everyone to pitch in.,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a fixed monthly payment,4,Required,5,5,5,They can make sure to include all types of payment forms.,There was nothing I found confusing.
220,grandparent,1200.0,800.0,400.0,Yes,Family members are each responsible for different bills,,5,5,,Because it would help balance the cost of caring for my grandmother,5,Because it will help balance our budget,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,5,Required,5,5,5,,
221,grandparent,500.0,100.0,400.0,No,,,3,4,,It would be helpful in caring for my grandparent,4,"Same reason, it would likely be helpful and if I recommended it they would probably go along with it",,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a fixed monthly payment,2,Optional,4,4,5,,No
222,grandparent,2500.0,0.0,870.0,Yes,Family members divide the total cost,,3,4,,It may be a new and providable way,4,It may be affordable,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,4,Required,4,2,3,None,No it wasnt
223,mother,1100.0,0.0,1100.0,No,,,1,5,,To help me financially with the care costs for my mother,4,They don’t want to help financially,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a fixed monthly payment,1,Required,5,5,5,Set times and dates for payments,No
224,mother-in-law,400.0,0.0,400.0,No,,,1,5,,Cheaper on me,5,Help out more,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a fixed monthly payment,5,Required,5,5,5,That would be amazing the way it is,Nothing
225,mother,200.0,0.0,0.0,No,,,5,1,Not sure of any future obligations.,,3,Not really sure.,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,1,Optional,5,1,3,No,It was good.
226,mother,2000.0,942.0,1000.0,No,,,1,2,Family has no money,,1,,No money and I can take care of her,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a fixed monthly payment,3,Required,4,4,3,,
227,grandparent,1000.0,500.0,500.0,No,,,1,5,,It would be nice to have an easier way ti receive help,4,easier to help pay for expenses,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,3,Optional,3,3,3,no,no
228,father,1500.0,1000.0,500.0,Yes,Family members divide the total cost,,4,5,,It takes the guess work out of sharing expenses.,5,We can focus on the task at hand and not fighting over money.,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,5,Required,5,5,5,It all sounds great to me.,Nothing confusing here.
229,grandparent,1200.0,0.0,1200.0,No,,,2,4,,It would help me show the family how much help she needs and we can divide it up properly,3,They could see how much she needs,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,5,Required,5,5,5,,
230,grandparent,500.0,500.0,0.0,No,,,1,5,,Fairly share cost,5,Fairly share cost,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a fixed monthly payment,5,Optional,5,5,5,,
231,mother,2000.0,1500.0,500.0,No,,,1,5,,I need help with all of this and I am going broke.,2,,They don't believe how hard we are struggling.,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a fixed monthly payment,5,Optional,2,5,5,"This seems helpful, but if the family cares they would help regardless.",No. I think this is a very nice service to help.
232,mother,1200.0,900.0,300.0,No,,,5,5,,It will help with bills,5,It will be helpful,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,5,Required,5,5,5,Nothing,Nothing
233,father,6300.0,2200.0,4100.0,Yes,"Family members divide the total cost,Family members send money to the main person caring for our relative","Mobile banking app, e.g. Venmo, ApplePay, Zelle,ACH transfer",4,5,,Worrying about the cost of caring for a family member is stressful so if there’s an application that can make it easier I am all for it,5,If we could set a payment schedule and make it easy for family members to pay for my loved one I believe they would enjoy it and it would remove a lot of stress in awkwardness,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a fixed monthly payment,3,Optional,5,5,5,"I think I’m messaging feature between family members would be great, but this sounds like a wonderful app, and a great way to share the responsibility of caring for a loved one",No
234,father,0.0,0.0,0.0,Yes,"Family members are each responsible for different bills,Family members divide the total cost,Family members send money to my relative,Family members send money to me","Mobile banking app, e.g. Venmo, ApplePay, Zelle",5,5,,Sounds interesting,5,To see what it’s about,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a fixed monthly payment,5,Optional,5,5,5,No,No
235,mother,3000.0,2300.0,700.0,No,,,2,5,,It could help my small family manage our medical expenses.,5,It seems like it would be very useful in managing our expenses.,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a fixed monthly payment,3,Optional,5,4,5,"No, I can't think of anything.","No, I did not."
236,grandparent,1200.0,800.0,200.0,Yes,Family members send money to the main person caring for our relative,Cash or check,5,5,,Sounds like a good app for my family,5,Good app for the whole family to use,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,5,Optional,5,5,5,No,No
237,grandparent,1500.0,1400.0,100.0,Yes,"Family members are each responsible for different bills,Family members send money to my relative","Mobile banking app, e.g. Venmo, ApplePay, Zelle,Cash or check",4,4,,Because it can help with more funds,3,The same reason I am interested,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a fixed monthly payment,4,Required,5,4,4,,None of it
238,mother-in-law,2500.0,1500.0,1000.0,No,,,3,4,,Can help to even our coust,4,Help to share costs,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,1,Optional,5,4,5,,
239,mother,13000.0,20.0,40.0,Yes,"Family members are each responsible for different bills,Family members divide the total cost",,4,5,,It sounds like it would make my life easier,4,Because it will help us in sharing the bills,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a fixed monthly payment,4,Required,5,5,5,,
240,grandparent,555.0,0.0,0.0,No,,,4,1,May die soon,,4,they don't see it,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a fixed monthly payment,4,Required,4,4,4,,
241,mother,600.0,500.0,100.0,No,,,1,3,,To see what they offer,3,To see what they have to offer,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a fixed monthly payment,4,Optional,3,5,4,No,No
242,mother,3000.0,2500.0,500.0,No,,,1,5,,because it would be easier to request funds from family,3,I sure would not sure if anyone else would be happy lol,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a fixed monthly payment,2,Required,4,4,5,This program sounds amazing - I can't think of anything else,no
243,grandparent,500.0,300.0,200.0,Yes,Family members divide the total cost,,5,5,,I think its a site with great features,5,Its structure,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a fixed monthly payment,5,Optional,5,5,5,No none at all,No
244,mother,5000.0,2500.0,1500.0,Yes,"Family members are each responsible for different bills,Family members send money to my relative,Family members send money to me",Cash or check,4,5,,Seems like a good way to save money,4,Money Savings,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,4,Optional,4,4,4,,No
245,father,2500.0,1600.0,900.0,No,,,1,4,,Everyone needs to pay their part.,2,,They don't want to help pay,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a fixed monthly payment,3,Required,2,4,5,,No
246,grandparent,700.0,200.0,200.0,No,,,1,5,,I can save money,5,Save money,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,5,Required,5,5,5,No,No
247,father-in-law,4000.0,2000.0,2000.0,Yes,Family members divide the total cost,,5,5,,I think it would be beneficial for us,5,Because it would benefit us alot,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a fixed monthly payment,3,Optional,5,5,5,No that was all,Not at all
248,grandparent,250.0,250.0,0.0,No,,,3,4,,USEFUL AND CONVENIENT,4,VERY USEFUL,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a fixed monthly payment,4,Optional,4,4,5,,
249,father-in-law,2000.0,1500.0,500.0,Yes,Family members divide the total cost,,5,3,,Could help,4,To help,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a fixed monthly payment,3,Optional,3,3,3,None,No
250,mother,200.0,0.0,100.0,No,,,1,4,,I think it Will equally help my family share the cost of my mother’s care,3,All of them aren’t interested in sharing fairly,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a fixed monthly payment,2,Optional,5,5,5,Identifying the best exact cost of the service,No
251,mother,1000.0,650.0,350.0,No,,,3,5,,The reason why I am interested in an application like CareShare is because it would be a helpful way to prevent me from having to use the money that I use to pay for expenses that I cover,5,Because it would also include a way for all of us to help and not cause financial problems for them,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a fixed monthly payment,1,Required,5,5,5,There is nothing I think you missed that would help my family split the cost of caring for my mom,No
252,father,500.0,0.0,500.0,No,,,3,3,,It might have uses for us,3,We might be able top make use of it,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a fixed monthly payment,4,Optional,4,4,3,nope,none
253,mother,500.0,200.0,300.0,No,,,1,5,,I need the help,5,It's helpful,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,5,Required,5,5,4,No,No
254,grandparent,2500.0,500.0,1500.0,Yes,Family members are each responsible for different bills,,5,5,,Because I like to try out new service,5,Because it sounds convenient to use,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a fixed monthly payment,5,Optional,5,5,5,,
255,mother,200.0,200.0,0.0,No,,,1,5,,It would record how much we contribute each month,5,It would make things even,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,3,Required,5,5,5,I'm not sure,no
256,grandparent,700.0,300.0,400.0,Yes,Family members are each responsible for different bills,,5,4,,It woud be an interesting experience.,4,Because they care as well.,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a fixed monthly payment,3,Required,4,5,5,"No, nothing",Everything ws more than clear.
257,mother,2000.0,1500.0,500.0,No,,,3,3,,Help with cost,3,Cost,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a fixed monthly payment,2,Required,2,3,2,None,No
258,friend,3.0,0.0,1.0,Yes,"Family members are each responsible for different bills,Family members send money to me","Mobile banking app, e.g. Venmo, ApplePay, Zelle,Cash or check",5,5,,Very interested,5,"Is innovative, and is for people like us",,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,5,Required,5,5,5,Love and financial,None
259,mother-in-law,500.0,0.0,0.0,Yes,"Family members divide the total cost,Family members send money to my relative","Mobile banking app, e.g. Venmo, ApplePay, Zelle,Cash or check",5,4,,Always looking for ways the government can assist with medical issues and housing problems,3,Not at this time,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a fixed monthly payment,4,Optional,4,3,4,No everything was covered in the survey,No
260,grandparent,900.0,500.0,400.0,Yes,Family members are each responsible for different bills,,5,5,,Yes,5,Maybe ideas of taking care and help taking care,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a fixed monthly payment,1,Optional,5,5,5,,Not confused
261,mother,1500.0,750.0,300.0,Yes,Family members divide the total cost,,5,3,,It may help someone like me.,2,,They aren't into using technology much.,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,2,Optional,4,5,4,Nothing I can think of.,"No, there was not."
262,father,1200.0,800.0,400.0,No,,,1,1,Don’t mind taking care of Mf father I love him,,1,,I am capable to do it myself and they aren’t close,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,1,Optional,3,5,5,No I don’t think so,No not really pretty self explanatory
263,mother,500.0,250.0,250.0,No,,,3,4,,Anything extra helps,3,Anything extra helps,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a fixed monthly payment,4,Optional,4,4,3,Nothing missed at all,Nothing confusing
264,grandparent,398.0,49.0,250.0,Yes,Family members are each responsible for different bills,,5,5,,It's important,5,Fulfilled,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a fixed monthly payment,5,Required,4,3,5,No,No
265,grandparent,450.0,320.0,100.0,Yes,"Family members are each responsible for different bills,Family members send money to my relative,Family members send money to me","Mobile banking app, e.g. Venmo, ApplePay, Zelle",4,4,,It can help my grandparents,3,Beucase it can be benifical to them,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,3,Required,3,4,3,,nope
266,grandparent,200.0,20.0,180.0,No,,,4,3,,Seems beneficial,3,Modern times,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,2,Optional,3,4,3,Not really,No
267,grandparent,3500.0,2000.0,1500.0,Yes,"Family members are each responsible for different bills,Family members send money to me","Mobile banking app, e.g. Venmo, ApplePay, Zelle,Cash or check",1,5,,So that the other family members can pay their share of the costs,4,I would be very interested as I don’t think they pay their fair share,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,1,Optional,5,5,5,Nothing this would be a great idea!,None
268,mother,1500.0,500.0,1000.0,No,,,5,1,No one will do anything,,1,,They believe it’s not their problem,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a fixed monthly payment,5,Required,4,4,5,Send medical updates,No
269,father-in-law,300.0,0.0,300.0,No,,,1,1,No need we talk all the time,,1,,Same,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,4,Optional,3,1,1,,
270,mother,500.0,200.0,300.0,No,,,3,4,,Never heard of it. I think it might be of great help to me,4,Because it might help us a lot,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,5,Required,4,4,5,There are no missing items. I think it is very comprehensive,"No, it's all plain and simple"
271,father,2300.0,1800.0,500.0,No,,,1,3,,Financial help,2,,They are cheap a holes,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,3,Required,3,4,3,No,No
272,grandparent,8500.0,4000.0,1000.0,Yes,Family members are each responsible for different bills,,4,5,,This would be a great way to fairly divide costs of care with a third party that has no bias to the person and makes a clear cut view of the expenses.,5,It would be a way for us to fairly see where the money is going and how it all needs to be split.,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,3,Optional,5,5,5,Budgeting tools are definitely the most important,No
273,father,1000.0,900.0,100.0,No,,,4,5,,needing help,5,we need guidance,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a fixed monthly payment,5,Required,5,4,4,nothing missed,nothing
274,grandparent,500.0,150.0,250.0,Yes,Family members divide the total cost,,4,5,,I didn't know this service was available.,4,good service,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a fixed monthly payment,5,Required,4,5,5,i think you covered it,It was delightful
275,grandparent,3750.0,3000.0,750.0,No,,,1,4,,Because then it’ll hold people accountable that aren’t holding up their end of the deal,2,,Because they don’t want to help take care of her,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a fixed monthly payment,4,Required,5,5,5,,
276,mother,900.0,500.0,400.0,No,,,2,4,,It seems like a service that would save me money and help my mother out as well,4,It would be great for me to have my burden eased and to give me more time with my mother,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a fixed monthly payment,4,Optional,4,5,4,nothing at all was missed,Nothing at all was confusing or needed more clarification
277,father,425.0,240.0,150.0,Yes,"Family members are each responsible for different bills,Family members send money to my relative","Mobile banking app, e.g. Venmo, ApplePay, Zelle,Cash or check",5,5,,To make sure that no one is over paying and someone is under paying,5,To make sure that it's fair that everyone is paying evenly,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a fixed monthly payment,5,Optional,5,5,5,No,No
278,mother,500.0,200.0,300.0,No,,,2,5,,yes,4,Maybe it would help,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a fixed monthly payment,5,Required,5,5,5,no,no
279,grandparent,2000.0,1200.0,300.0,Yes,Family members send money to my relative,Cash or check,2,4,,Help my family I'm situations like this,3,I'm not sure they might be indifferent to it,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a fixed monthly payment,3,Optional,4,5,5,Notifying who hasn't paid and/or reminder notifications,No
280,,800.0,200.0,200.0,No,,,5,5,,Help bill,5,Bill,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a fixed monthly payment,5,Required,5,5,5,No,No
281,husband,1500.0,1200.0,1000.0,Yes,"Family members are each responsible for different bills,Family members divide the total cost",,5,5,,Can help to better share the cost of my caregiver,5,Can be a good caregiver for my family,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a fixed monthly payment,5,Required,5,5,5,No more cost-sharing amount,
282,grandparent,2000.0,1500.0,300.0,Yes,Family members divide the total cost,,5,2,We have a pretty good handled on things.,,3,I'm really not sure how to answer for them,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,4,Required,5,4,5,I think a lot of past payments would be great.,No
283,father,50.0,0.0,50.0,Yes,Family members are each responsible for different bills,,5,4,,"probably helps keep things more organized and fair for ever involved, maybe less drama about splitting costs",4,same reasons i would be,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,3,Optional,4,4,4,,
284,,1000.0,1000.0,200.0,Yes,Family members send money to the main person caring for our relative,Cash or check,5,1,Because my family and i pretty much have it under control,,1,,Because we have it under control,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,3,Optional,3,3,3,No,No
285,mother,5000.0,3000.0,1000.0,Yes,Family members divide the total cost,,1,3,,To help ease the burden of my spending on her,5,To help ease the burden of having to spend on her,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a fixed monthly payment,5,Required,5,5,5,No,No
286,grandparent,4000.0,3000.0,1000.0,Yes,Family members are each responsible for different bills,,5,3,,it wouldn’t hurt to try,1,,they’re old and think everything’s a scam,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a fixed monthly payment,3,Required,4,4,3,nope,nope
287,grandparent,5000.0,2500.0,3500.0,Yes,Family members are each responsible for different bills,,5,5,,It sounds new and I would like to try it out,5,They would think the same because they are looking for something new as well,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a fixed monthly payment,4,Optional,5,4,5,No,No
288,mother,1000.0,600.0,400.0,No,,,1,5,,medical expenses are insane so any helpful resources interest me,5,a lot of my family has a hard time affording their own healthcare,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,3,Optional,5,5,5,no this sounds like a wonderful service,nope! it was very easy and clear to understand
289,father,400.0,250.0,150.0,Yes,Family members send money to the main person caring for our relative,"Mobile banking app, e.g. Venmo, ApplePay, Zelle",5,4,,Seems easier,4,Seems easier,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a fixed monthly payment,4,Optional,5,5,5,No. Sounds good,No
290,grandparent,360.0,60.0,160.0,Yes,Family members divide the total cost,,4,4,,"It's more helpful for me, I don't make a lot of money every month",4,It can relieve our stress and make life a little better,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a fixed monthly payment,5,Optional,3,5,3,The analysis should be tailored to each family's situation,
291,mother,1800.0,1500.0,300.0,Yes,Family members send money to me,"Mobile banking app, e.g. Venmo, ApplePay, Zelle",4,5,,Anything they would help thr family,5,They all want to help,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a fixed monthly payment,5,Optional,5,5,5,No,No
292,friend,2000.0,2000.0,0.0,No,,,5,5,,The possibility of my friend receiving additional help.,5,The possibility of CareShare allowing more time to do other things.,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,5,Required,3,5,5,No.,No.
293,mother,2000.0,1000.0,1000.0,Yes,"Family members are each responsible for different bills,Family members send money to my relative,Family members send money to me","Mobile banking app, e.g. Venmo, ApplePay, Zelle,Cash or check,ACH transfer",4,5,,Easy to use is what I like very professional,5,Can take better care of the family to reduce the burden,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a fixed monthly payment,4,Required,5,4,4,none,none
294,mother,500.0,0.0,500.0,No,,,3,3,,Want to know more about this,3,They might be interested,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,3,Required,3,3,3,No,No
295,mother-in-law,5000.0,5000.0,0.0,No,,,3,5,,It would help facilitate communication with siblings.,4,They want the communication as well.,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,5,Optional,5,5,5,No. I don't think so.,None.
296,grandparent,1000.0,500.0,500.0,No,,,1,2,I don't feel like I need it,,3,They may like it,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,4,Optional,4,4,5,Can't think of anything,No
297,mother-in-law,1200.0,650.0,550.0,Yes,Family members divide the total cost,,5,3,,More assistance,4,Financial assistance,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,4,Required,4,4,5,Nope,No
298,grandparent,2500.0,2500.0,0.0,No,,,1,1,They got it covered,,1,,Got it covered,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a fixed monthly payment,1,Not included,1,1,1,Not,No
299,mother,2000.0,1000.0,1000.0,Yes,"Family members divide the total cost,Family members send money to me","Mobile banking app, e.g. Venmo, ApplePay, Zelle",5,5,,I think it would help us a lot on taking care of my mother,5,They would love the help as well,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,4,Optional,4,5,5,Not at the moment,No
300,mother,1000.0,800.0,200.0,Yes,Family members are each responsible for different bills,,5,5,,It would help alleviate the buried,5,It will help alleviate the financial burden,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a fixed monthly payment,5,Required,5,5,5,I think it sounds perfect,"No, not at all"
